user_id,resume_path,document_type,filename
36,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1008_ETL Developer.pdf,resume,1008_ETL Developer.pdf
37,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1029_DotNet Developer.pdf,resume,1029_DotNet Developer.pdf
38,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1030_DotNet Developer.pdf,resume,1030_DotNet Developer.pdf
39,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1036_DotNet Developer.pdf,resume,1036_DotNet Developer.pdf
40,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1037_DotNet Developer.pdf,resume,1037_DotNet Developer.pdf
41,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1043_DotNet Developer.pdf,resume,1043_DotNet Developer.pdf
42,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1066_Blockchain.pdf,resume,1066_Blockchain.pdf
43,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1074_Blockchain.pdf,resume,1074_Blockchain.pdf
44,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1097_Testing.pdf,resume,1097_Testing.pdf
45,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/1125_Testing.pdf,resume,1125_Testing.pdf
60,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/204_Data Science.pdf,resume,204_Data Science.pdf
61,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/224_Data Science.pdf,resume,224_Data Science.pdf
62,/opt/NodeRAG-Neo4j-Integration/POC_Data/documents/input_resumes/230_Data Science.pdf,resume,230_Data Science.pdf
